zilo_l,zilo_c,eng,rus,pos,remove
ʁan,гъан, flat_cake,лепешка,Noun,
besun,бесун,knife,нож,Noun,
unso,унсо,ox.obl,вол.obl,Noun,
huntʃ'a,гьунч1а,hay,сено,Noun,
ħeleko,х1элеко,rooster,петух,Noun,
k'ʷerdi,к1верди,grass,трава,Noun,
ɬaχib,лъахиб,leaf.pl.obl,лист.pl.obl,Noun,
t'onk'il,т1онк1ил,drop,капля,Noun,
riʒi,рижи,face.pl.obl,лицо.pl.obl,Noun,
adam,адам,person.obl.pl,человек.obl.pl,Noun,
reka,река,belly.obl,живот.obl,Noun,
araq'i,аракъи,alcoholic_drink.pl,алкогольные_напиток.pl,Noun,
uwetsu,увецу,hen.pl,курица.pl,Noun,
ora,ора,corn_ear,колос,Noun,
ħurmati,Х1урмати,Hurmat,Хурмат,Noun,
aliba,алиба,sheaf,сноп,Noun,
ɡurdo,гурдо,shirt.pl.obl,рубашка.pl.obl,Noun,
tʃ'aχa,ч1аха,grass,трава,Noun,
pil,пил,elephant,слон,Noun,
ts'ĩja,ц1и2я,goat.obl,коза.obl,Noun,
jotsi,йоци,sister.obl,сестра.obl,Noun,
mirʁal,миргъал,button.pl,пуговица.pl,Noun,
q'urtʃi,къурчи,apricot.pl,абрикос.pl,Noun,
mirʁal,миргъал,button,пуговица,Noun,
qχaraul,хъараул,guard,охранник,Noun,
mits'i,миц1и,tongue.obl,язык.obl,Noun,
nuso,нусо,son_in_law,зять,Noun,
q'unu,къуну,tombstone,могильный_камень,Noun,
q'eb,къеб,ploughshare.obl,сошник.obl,Noun,
qχaman,хъаман,boar.pl.obl,кабан.pl.obl,Noun,
tɬ'uri,кьури,cliff.pl.obl,скала.pl.obl,Noun,
ɡʷerzu,гверзу,cheek.pl,щека.pl,Noun,
ʃːek'i,щек1и,vein.pl,жила.pl,Noun,
roʃo,рошо,word.pl,слово.pl,Noun,
beʃen,бешен,bed.pl,постель.pl,Noun,
mirʁal,миргъал,button.pl.obl,пуговица.pl.obl,Noun,
rekun,рекун,thread.pl,нитка.pl,Noun,
ɬaχib,лъахиб,leaf,лист,Noun,
pirts'i,пирц1и,tar.pl.obl,смола.pl.obl,Noun,
laɡa,лага,body,тело ,Noun,
ustul,устул,table,стол,Noun,
tʃakmaji,чакмайи,boot.pl.obl,сапог.pl.obl,Noun,
mok'o,мок1о,chair,стул,Noun,
ketʃ'i,кеч1и,song.obl,песня.obl,Noun,
ɬin,лъин,hair,волос,Noun,
minutil,минутил,minute.obl,минута.obl,Noun,
dʒudʒaʕ,джуджаг1,hell,ад,Noun,
ɡorod,город,city.obl,город.obl,Noun,
kunt'a,кунт1а,male.pl.obl,самец.pl.obl,Noun,
riχil,рихил,liquid_stool,жидкий_кал,Noun,
q'arq'ala,къаркъала,body.pl.obl,тело.pl.obl,Noun,
telefon,телефон,telephone,телефон,Noun,
ʒuna,жуна,chin.pl,подбородок.pl,Noun,
bit'i,бит1и,truth,правда,Noun,
jotsiba,йоциба,sister.pl.obl,сестра.pl.obl,Noun,
buʁa,бугъа,bull.pl.obl,бык.pl.obl,Noun,
nusa,нуса,daughter_in_law,невестка,Noun,
k'azi,к1ази,headscarf.pl.obl,женский_платок.pl.obl,Noun,
reχin,рехин,wedding.obl,свадьба.obl,Noun,
it'ni,ит1ни,Monday,понедельник,Noun,
ts'ːum,ц1ц1ум,eagle.pl,орел.pl,Noun,
nots'ːi,ноц1ц1и,louse.pl.obl,вошь.pl.obl,Noun,
reɬoli,релъоли,lake.pl.obl,озеро.pl.obl,Noun,
sur,сур,sand,песок,Noun,
maduhal,мадугьал,neighbour.m.obl,сосед.m.obl,Noun,
miχi,михи,sheep_wool.pl.obl,овечья_шерсть.pl.obl,Noun,
ts'ul,ц1ул,staff,палка,Noun,
χoroʃa,хороша,herdsman.obl,пастух.obl,Noun,
laʁi,лагъи,slave,раб,Noun,
k'azi,к1ази,headscarf,женский_платок,Noun,
tuχum,тухум,clan,клан,Noun,
tʃ'aχa,ч1аха,grass.pl,трава.pl,Noun,
hank'o,гьанк1о,nail,гвоздь,Noun,
moʁortʃ'u,могъорч1у,tail.pl,хвост.pl,Noun,
dʒindʒi,джинджи,flower,цветок,Noun,
aliba,алиба,sheaf.pl,сноп.pl,Noun,
ʁanni,гъанни,crow.pl.obl,ворона.pl.obl,Noun,
zahraʔil,Загьраъил,Zahrail,Захраил,Noun,
muhu,мугьу,bread,хлеб,Noun,
awʔal,авъал,nut.pl,орех.pl,Noun,
panq'i,панкъи,flat_bread,лепешка,Noun,
ɡeʒi,гежи,bitch.pl,сука.pl,Noun,
ora,ора,corn_ear.obl,колос.obl,Noun,
isir,исир,scissors,ножницы,Noun,
motʃ'i,моч1и,child.obl,ребенок.obl,Noun,
reɬoli,релъоли,night.pl.obl,ночь.pl.obl,Noun,
ɬiru,лъиру,feather,перо,Noun,
tʃanaʁi,чанагъи,sledge.pl.obl,сани.pl.obl,Noun,
anɡa,анга,branch.pl.obl,ветка.pl.obl,Noun,
ali,Али,Ali,Али,Noun,
sinortɬa,синорл1а,mite,клещ,Noun,
tɬ'eχʷa,кьехва,dust.pl,пыль.pl,Noun,
raχasi,рахаси,chain,цепь,Noun,
tʃonili,чонили,animal.pl.obl,зверь.pl.obl,Noun,
inɡur,ингур,window,окно ,Noun,
burtina,буртина,shepherd's_coat.pl,бурка.pl,Noun,
piri,пири,lightning.pl.obl,молния.pl.obl,Noun,
tʃunk'a,чунк1а,leg,нога,Noun,
orsi,орси,silver,серебро,Noun,
hits'itʃol,гьиц1ичол,swallow,ласточка,Noun,
q'en,къен,wall.obl,стена.obl,Noun,
kuli,кули,hut,хибара,Noun,
hartʃ'ːol,гьарч1ч1ол,долина.pl,valley.pl,Noun,
ʕurts'im,г1урц1им,mule.obl,мул.obl,Noun,
abur,абур,breast.obl,грудь.obl,Noun,
k'ːara,к1к1ара,mosquito.pl,комар.pl,Noun,
dan,дан,ewe.pl.obl,овцематка.pl.obl,Noun,
orsi,орси,silver.pl,серебро.pl,Noun,
saʔati,саъати,hour.obl,час.obl,Noun,
unso,унсо,ox,вол,Noun,
ports'ːi,порц1ц1и,moon.pl.obl,луна.pl.obl,Noun,
rok'o,рок1о,kernel.pl,ядро.pl,Noun,
tʃ'ːe,ч1ч1е,ash_tree,ясень,Noun,
hant'ik'a,гьант1ик1а,ear,ухо,Noun,
za,за,fist.pl.obl,кулак.pl.obl,Noun,
tɬut'i,л1ут1и,wedge.pl.obl,клин.pl.obl,Noun,
tʃ'eltɬisolu,ч1елл1исолу,twins.obl,близнецы.obl,Noun,
ʁobʁo,гъобгъо,partridge.pl.obl,куропатка.pl.obl,Noun,
arkom,арком,spoon.obl,ложка.obl,Noun,
reɬol,релъол,lake.pl,озеро.pl,Noun,
oχo,охо,pus.obl,гной.obl,Noun,
ts'er,ц1ер,name,имя,Noun,
ʒolka,жолка,worm.pl,червь.pl,Noun,
koʃːi,кощи,broth.pl.obl,бульон.pl.obl,Noun,
k'ala,к1ала,shelf,полка,Noun,
homolloʁi,гьомоллогъи,friend,друг,Noun,
tɬ'ir,кьир,bridge.pl,мост.pl,Noun,
χʷej,хвей,dog.pl.obl,собака.pl.obl,Noun,
bet'a,бет1а,vagina,влагалище,Noun,
aqχu,ахъу,hip.pl,бедро.pl,Noun,
qχʷaltʃen,хъвалчен,sword,меч,Noun,
tɬ'uri,кьури,cliff.pl,скала.pl,Noun,
penʒeki,пенжеки,jacket,куртка,Noun,
ts'er,ц1ер,name.obl,имя.obl,Noun,
miqχi,михъи,mustache,усы,Noun,
qχandiro,хъандиро,sickle,серп,Noun,
joʃi,йоши,girl.pl,девочка.pl,Noun,
q'en,къен,wall.pl.obl,стена.pl.obl,Noun,
k'ol,к1ол,beak,клюв,Noun,
lulla,лулла,pipe,курительная_трубка,Noun,
bestalada,бесталада,orphan(female).pl.obl,сирота(female).pl.obl,Noun,
ɡeʒi,гежи,bitch.pl.obl,сука.pl.obl,Noun,
sedu,седу,before,перед,Noun,
reʔa,реъа,paw,лапа,Noun,
ɡudur,гудур,trap.pl,ловушка.pl,Noun,
ʁan,гъан,flat_cake.pl.obl,лепешка.pl.obl,Noun,
tʃarʁit'i,чаргъит1и,magpie,сорока,Noun,
patinki,патинки,shoes,обувь,Noun,
sim,сим,gall,желчь,Noun,
nots'ːi,ноц1ц1и,louse.pl,вошь.pl,Noun,
q'entʃi,къенчи,mason,каменщик,Noun,
watɬ'uɬir,вакьулъир,armpit,подмышка,Noun,
iso,исо,cottage_cheese,творог,Noun,
ruʁun,ругъун,wound.pl,рана.pl,Noun,
boʃi,боши,cub.pl,детеныш.pl,Noun,
sej,сей,bear.obl,медведь.obl,Noun,
hamorχi,гьаморхи,donkey.obl,осел.obl,Noun,
hat'i,гьат1и,dough,тесто,Noun,
abur,абур,breast,грудь,Noun,
misa,миса,place,место,Noun,
qχal,хъал,bark,кора,Noun,
dunɡil,дунгил,hole.obl,яма.obl ,Noun,
isir,исир,scissors.pl,ножницы.pl,Noun,
χink'il,хинк1ил,khinkal.obl,хинкал.obl,Noun,
ʁan,гъан,bread,хлеб,Noun,
iha,игьа,armed_band.obl,вооруженный_отряд.obl,Noun,
ɡaru,гару,neck,шея,Noun,
ʃːib,щиб,dew.pl.obl,роса.pl.obl,Noun,
awʔalu,авъалу,nut.obl,орех.obl,Noun,
niχa,ниха,oats,овес,Noun,
ɡuɡu,гугу,cuckoo.pl,кукушка.pl,Noun,
ts'ːunno,ц1ц1унно,navel.obl,пупок.obl,Noun,
oχo,охо,pus.pl,гной.pl,Noun,
padutʃan,падучан,stirrup.pl,стремя.pl,Noun,
ts'ːunno,ц1ц1унно,navel,пупок,Noun,
k'ork'on,к1орк1он,egg,яйцо,Noun,
jatsʔal,йацъал,cousin(female).obl,двоюродная_сестра.obl,Noun,
arzi,арзи,complaint,жалоба,Noun,
χink'ilaχom,хинк1илахом,skimmer,шумовка,Noun,
roʃo,рошо,word,слово,Noun,
inkʷa,инква,carriage.pl,арба.pl,Noun,
sunk'a,сунк1а,lip.pl.obl,губа.pl.obl,Noun,
kːubajdir,ккубайдир,prayer.pl,молитва.pl,Noun,
χink'il,хинк1ил,knee,колено,Noun,
tɬ'eχʷa,кьехва,dust,пыль,Noun,
mits'i,миц1и,tongue.pl,язык.pl,Noun,
ɬotʃ'u,лъоч1у,voice.obl,голос.obl,Noun,
tʃarʁit'i,чаргъит1и,magpie.pl.obl,сорока.pl.obl,Noun,
irsa,ирса,trough.pl.obl,корыто.pl.obl,Noun,
tʃ'at'i,ч1ат1и,blackberry,ежевика,Noun,
ħajman,х1айман,sheep,овца,Noun,
ʕelmu,г1елму,science,наука,Noun,
hartʃ'ːi,гьарч1ч1и,долина.obl,valey.obl,Noun,
k'ol,к1ол,beak.pl.obl,клюв.pl.obl,Noun,
ts'ːa,ц1ц1а,star.pl,звезда.pl,Noun,
biʃo,бишо,fur_coat.pl.obl,тулуп.pl.obl,Noun,
k'urk'ul,к1урк1ул,cherry_plum,алыча,Noun,
joʃi,йоши,girl,девочка,Noun,
nitʃ'a,нич1а,gadfly.obl,слепень.obl,Noun,
ʁats'a,гъац1а,grasshopper.pl,кузнечик.pl,Noun,
om,ом,roof,крыша,Noun,
sej,сей,bear.pl.obl,медведь.pl.obl,Noun,
k'ːunu,к1к1уну,kidney.pl,почка.pl,Noun,
mok'ol,мок1ол,stool.obl,табуретка.obl,Noun,
q'aj,къай,dishes.pl.obl,посуда.pl.obl,Noun,
ts'ĩo,ц1и2о,goat.obl,коза.obl,Noun,
ɡaru,гару,neck.pl.obl,шея.pl.obl,Noun,
biçtaj,Бихьтай,Bikhtai,Бихтай,Noun,
kunt'a,кунт1а,man.pl.obl,мужчина.pl.obl,Noun,
qχandiro,хъандиро,sickle.pl,серп.pl,Noun,
ts'ːa,ц1ц1а,rain.gen.pl,дождь.gen.pl,Noun,
orsːi,орсси,money,деньги,Noun,
baħaraw,бах1арав,bridegroom,жених,Noun,
ɡedu,геду,cat,кошка,Noun,
ħajwanu,х1айвану,livestock.obl,домашний_скот.obl,Noun,
ortʃoɡi,орчоги,trousers.pl,штаны.pl,Noun,
riʒi,рижи,muzzle,морда,Noun,
t'ana,т1ана,nit.obl,гнида.obl,Noun,
t'amsa,т1амса,carpet.obl,ковер.obl,Noun,
padutʃan,падучан,stirrup,стремя,Noun,
ħajwanol,хIайванол,livestock.pl,домашний_скот.pl,Noun,
susuk'u,сусук1у,sieve,сито,Noun,
berka,берка,snake.obl,змея.obl,Noun,
ilatɬ'oru,илакьору,mother_in_law.obl,теща/свекровь.obl,Noun,
ɡoʔi,гоъи,deaf,глухой,Noun,
χal,хал,people.obl,народ.obl,Noun,
ts'ːe,ц1ц1е,guest.pl,гость.pl,Noun,
ɬaχib,лъахиб,leaf.pl,лист.pl,Noun,
miɡa,мига,spindle.pl,веретено.pl,Noun,
biʃo,бишо,fur_coat,тулуп,Noun,
intsːi,инцци,spring.pl.obl,родник.pl.obl,Noun,
ketʃ'i,кеч1и,song.pl,песня.pl,Noun,
qχantʃi,хъанчи,idol,идол,Noun,
ɬants'i,лъанц1и,ant.pl,муравей.pl,Noun,
piri,пири,lightning.pl,молния.pl,Noun,
tɬ'ir,кьир,bridge,мост,Noun,
miɡaʒu,мигажу,beard,борода,Noun,
koka,кока,womans_breast,женская_грудь,Noun,
anʒi,анжи,scar.pl.obl,шрам.pl.obl,Noun,
hartɬ'u,гьаркьу,braid.pl.obl,женская_коса.pl.obl,Noun,
tʃ'ureɡi,ч1уреги,wheel,колесо,Noun,
roʃon,рошон,rope.pl,веревка.pl,Noun,
ɡʷadatʃa,гвадача,glove.obl,рукавица.obl,Noun,
tʃanaʁi,чанагъи,sledge.pl,сани.pl,Noun,
dunɡil,дунгил,hole.pl.obl,яма.pl.obl,Noun,
beχu,беху,birch.pl,береза.pl,Noun,
χam,хам,cloth,ткань,Noun,
ʒolka,жолка,worm,червь,Noun,
enʔi,энъи,dry_nasal_mucus,козявка,Noun,
padan,падан,sock,носок,Noun,
sandiɡi,сандиги,chest.obl,сундук.obl,Noun,
hamorχi,гьаморхи,donkey,осел,Noun,
χamiz,хамиз,Thursday,четверг,Noun,
riʒi,рижи,muzzle.pl.obl,лицо.pl.obl,Noun,
himu,гьиму,awl,шило,Noun,
adlu,адлу,law,закон,Noun,
tʃarχi,чархи,reel.pl,катушка.pl,Noun,
ɡoʔi,гоъи,deaf.pl,глухой.pl,Noun,
awʔara,авъара,hat,шапка,Noun,
ɬomido,лъомидо,thief,вор,Noun,
mark'atʃ'u,марк1ач1у,evening,вечер,Noun,
ts'ĩjja,ц1и2йя,goat.obl,коза.obl,Noun,
ʁats'a,гъац1а,grasshopper,кузнечик,Noun,
t'onk'il,т1онк1ил,drop.obl,капля.obl,Noun,
sːino,ссино,glue,клей,Noun,
baq'an,бакъан,music,музыка,Noun,
sibiru,сибиру,autumn,осень,Noun,
ʃːib,щиб,dew,роса,Noun,
kokom,коком,plum.obl,слива.obl,Noun,
ketʃ'i,кеч1и,poem,стихотворение,Noun,
erq'al,эркъал,ceiling.pl,потолок.pl,Noun,
ts'ek'ir,ц1ек1ир,goat_kid,козленок,Noun,
tʃunk'a,чунк1а,leg.pl,нога.pl,Noun,
kʷeɬir,квелъир,sleeve.pl,рукав.pl,Noun,
tʃ'ureɡi,ч1уреги,wheel.pl.obl,колесо.pl.obl,Noun,
ɬol,лъол,horseshoe.obl,подкова.obl,Noun,
milki,милки,house.pl.obl,дом.pl.obl,Noun,
misidi,мисиди,gold.obl,золото.obl,Noun,
tsertsedaqχi,церцедахъи,bow.pl.obl,лук.pl.obl,Noun,
miɬijol,милъийол,sun_slope.pl.obl,солнечный_склон.pl.obl,Noun,
χink'ilaχom,хинк1илахом,skimmer.pl.obl,шумовка.pl.obl,Noun,
oχo,охо,pus,гной,Noun,
hant'ik'a,гьант1ик1а,ear.obl,ухо.obl,Noun,
q'arq'ala,къаркъала,body,тело,Noun,
beʃen,бешен,bed.pl.obl,постель.pl.obl,Noun,
hiro,гьиро,cloud.pl.obl,облако.pl.obl,Noun,
awʔara,авъара,hat.pl,шапка.pl,Noun,
χink'ilaχom,хинк1илахом,skimmer.obl,шумовка.obl,Noun,
k'otu,к1оту,horse.pl,лошадь.pl,Noun,
muχa,муха,fairy_tale.pl.obl,сказка.pl.obl,Noun,
q'ulden,къулден,armour,броня,Noun,
arbaʕ,арбаг1,Wednesday,среда,Noun,
etʃ'ːi,эч1ч1и,spleen.pl,селезенка.pl,Noun,
hiu,гьиу,awl.pl,шило.pl,Noun,
q'otːi,къотти,deal,договор,Noun,
holi,гьоли,pea.pl.obl,горох.pl.obl,Noun,
isib,исиб,side,бок,Noun,
qχal,хъал,bark.pl.obl,кора.pl.obl,Noun,
ʒolka,жолка,worm.obl,червь.obl,Noun,
tok'iʃːi,ток1ищи,baby_donkey.obl,осленок.obl,Noun,
hank'o,гьанк1о,nail.pl.obl,гвоздь.pl.obl,Noun,
dunjal,дунял,world,мир,Noun,
ts'ːuma,ц1ц1ума,grassweed,камыш,Noun,
rihi,ригьи,time,время,Noun,
sinortɬa,синорл1а,mite.pl,клещ.pl,Noun,
q'arq'ala,къаркъала,body.pl,тело.pl,Noun,
daru,дару,medicine,лекарство,Noun,
susuk'u,сусук1у,sieve.pl,сито.pl,Noun,
q'orolajlali,къоролайлали,widow.pl.obl,вдова.pl.obl,Noun,
ʔʷen,ъвен,horn.pl,рог.pl,Noun,
miʁul,мигъул,back.pl,спина.pl,Noun,
koka,кока,womans_breast.pl,женская_грудь.pl,Noun,
muɬa,мулъа,fingernail,ноготь,Noun,
onʃːi,онщи,earth.pl,земля.pl,Noun,
ʁʷamarsu,гъвамарсу,chest.pl.obl,сундук.pl.obl,Noun,
sol,сол,tooth.pl.obl,зуб.pl.obl,Noun,
watsʔal,вацъал,cousin(male),двоюродный_брат,Noun,
ts'eni,ц1ени,goat.obl.pl,коза.obl.pl,Noun,
ketʃ'i,кеч1и,song,песня,Noun,
tsiliq'urru,циликъурру,turtle,черепаха,Noun,
himu,гьиму,awl.pl.obl,шило.pl.obl,Noun,
moskʷa,Москва,moscow,москва,Noun,
awʔara,авъара,hat.obl,шапка.obl,Noun,
χarpuzi,харпузи,watermelon,арбуз,Noun,
tʃanaʁi,чанагъи,sledge.obl,сани.obl,Noun,
isir,исир,scissors.pl.obl,ножницы.pl.obl,Noun,
tarha,таргьа,sack.pl.obl,мешок.pl.obl,Noun,
honu,гьону,brain.obl,мозг.obl,Noun,
beχirq'il,бехиркъил,seat.pl,зад.pl,Noun,
wotʃ'or,воч1ор,election,выборы,Noun,
ɡʷadatʃa,гвадача,glove.pl.obl,рукавица.pl.obl,Noun,
mat'u,мат1у,mirror.pl.obl,зеркало.pl.obl,Noun,
boʃi,боши,cub,детеныш,Noun,
dan,дан,thing.pl,вещь.pl,Noun,
tʃ'ːe,ч1ч1е,ash_tree.pl,ясень.pl,Noun,
kunt'a,кунт1а,male,самец,Noun,
ʃamat,шамат,Saturday,суббота,Noun,
irsa,ирса,trough.obl,корыто.obl,Noun,
q'ʷat'il,къват1ил,street.obl,улица.obl,Noun,
biqχi,бихъи,fruits,фрукты,Noun,
miq'i,микъи,time,время,Noun,
erq'al,эркъал,ceiling.pl.obl,потолок.pl.obl,Noun,
tʃonil,чонил,animal.pl,зверь.pl,Noun,
χunt'a,хунт1а,boar,кабан,Noun,
saʔati,саъати,hour,час,Noun,
anɡa,анга,branch,ветка,Noun,
joʃi,йоши,girl.pl.obl,девочка.pl.obl,Noun,
sandiɡi,сандиги,chest.pl,сундук.pl,Noun,
q'amu,къаму,rooster_comb.pl.obl,петушиный_гребень.pl.obl,Noun,
ʁun,гъун,stack,стог,Noun,
hir,гьир,copper.pl,медь.pl,Noun,
dan,дан,thing.pl.obl,вещь.pl.obl,Noun,
bura,бура,lamb.obl,ягненок.obl,Noun,
ʃːekib,щекиб,bird.pl,птица.pl,Noun,
ts'ipila,ц1ипила,kizyak.pl,кизяк.pl,Noun,
χunt'a,хунт1а,boar.pl,кабан.pl,Noun,
sinortɬa,синорл1а,mite.pl.obl,клещ.pl.obl,Noun,
aqχu,ахъу,hip.pl.obl,бедро.pl.obl,Noun,
taj,тай,foal,жеребенок,Noun,
sabab,сабаб,reason,причина,Noun,
mits'i,миц1и,tongue.pl.obl,язык.pl.obl,Noun,
baʃar,башар,cream,крем,Noun,
tɬartɬal,л1арл1ал,broom.pl,метла.pl,Noun,
reʃi,реши,forest.obl,лес.obl,Noun,
tʃːil,ччил,dung,навоз,Noun,
sːahi,ссагьи,flour_measure.pl,мерка_для_муки.pl,Noun,
qχuqχadir,хъухъадир,saw,пила,Noun,
sekundil,секундил,second,секунда,Noun,
ɡʷadatʃa,гвадача,glove,рукавица,Noun,
ts'umur,ц1умур,fork.pl,вилка.pl,Noun,
misa,миса,place.pl,место.pl,Noun,
qχal,хъал,skin.pl.obl,кожа.pl.obl,Noun,
nots'ːi,ноц1ц1и,louse.obl,вошь.obl,Noun,
wedra,ведра,bucket.obl,ведро.obl,Noun,
kini,кини,cradle.pl.obl,люлька.pl.obl,Noun,
beχumoʁul,бехумогъул,fat_tail.pl,курдюк.pl,Noun,
kots'i,коц1и,besom,веник,Noun,
k'ol,к1ол,beak.obl,клюв.obl,Noun,
ħajwana,х1айвана,livestock.pl.obl,домашний_скот.pl.obl,Noun,
ɡaɡa,гага,pit.pl.obl,косточка.pl.obl,Noun,
motɬ'i,мокьи,dream.obl,сон.obl,Noun,
ʃiʃa,шиша,bottle,бутылка,Noun,
reʔa,реъа,hand.pl,рука.pl,Noun,
militsiʃ,милициш,police_officer.m.obl,полицейский.m.obl,Noun,
ts'ek'ir,ц1ек1ир,goat_kid.pl.obl,козленок.pl.obl,Noun,
tʃanaʁi,чанагъи,sledge,сани,Noun,
rej,рей,yard,двор,Noun,
roza,роза,rose.obl,роза.obl,Noun,
hek'ʷa,гьек1ва,person.m.obl,человек.m.obl,Noun,
hark'u,гьарк1у,eye.pl.obl,глаз.pl.obl,Noun,
himʔu,гьимъу,bottom.pl,дно.pl,Noun,
miɬi,милъи,sun.pl.obl,солнце.pl.obl,Noun,
nitʃ'a,нич1а,gadfly,слепень,Noun,
ħeleko,х1елеко,rooster.obl,петух.obl,Noun,
hon,гьон,village.pl.obl,селение.pl.obl,Noun,
tʃ'eltɬisol,ч1елл1исол,twins,близнецы,Noun,
hin,гьин,blood,кровь,Noun,
roʃon,рошон,rope,веревка,Noun,
hawa,гьава,air,воздух,Noun,
k'otu,к1оту,horse.pl.obl,лошадь.pl.obl,Noun,
ima,има,father.pl.obl,отец.pl.obl,Noun,
ʒolka,жолка,worm.pl.obl,червь.pl.obl,Noun,
hiro,гьиро,fog.pl,туман.pl,Noun,
maduhal,мадугьал,neighbour,сосед,Noun,
ɡʷerzu,гверзу,cheek.pl.obl,щека.pl.obl,Noun,
buʁa,бугъа,bull.obl,бык.obl,Noun,
ʔʷen,ъвен,horn.obl,рог.obl,Noun,
nitʃo,ничо,scythe,коса,Noun,
zĩwu,зи̃ву,cow.pl.obl,корова.pl.obl,Noun,
qχiru,хъиру,whetstone.obl,точило.obl,Noun,
k'erk'eʃ,к1ерк1еш,kernel.pl,ядрышко.pl,Noun,
tʃaʕa,чаг1а,homemade_wine,домашнее_вино,Noun,
ʁuʁu,гъугъу,dove.pl.obl,голубь.pl.obl,Noun,
ala,алa,lid.obl,крышка.obl,Noun,
mat'o,мат1о,glass,стекло,Noun,
tʃarχi,чархи,whetstone.pl,точило.pl,Noun,
ɡel,гел,pan,сковородка,Noun,
zahru,загьру,poison,яд,Noun,
ɬenso,лъенсо,water_reservoir,водоём,Noun,
inɡur,ингур,window.pl.obl,окно.pl.obl,Noun,
ts'ːon,ц1ц1он,salt.pl,соль.pl,Noun,
ʁats'a,гъац1а,grasshopper.pl.obl,кузнечик.pl.obl,Noun,
ts'ipila,ц1ипила,kizyak.obl,кизяк.obl,Noun,
reʃin,решин,year,год,Noun,
k'oʃk'on,к1ошк1он,skein.obl,моток_ниток.obl,Noun,
el,эл,sour_cream.obl,сметана.obl,Noun,
k'azi,к1ази,headscarf.pl,женский_платок.pl,Noun,
daram,дарам,trade,торговля,Noun,
din,дин,religion,религия,Noun,
rek'ul,рек1ул,key.obl,ключ.obl,Noun,
muʃːi,мущи,cable,канат,Noun,
ħeleko,х1элеко,rooster.pl.obl,петух.pl.obl,Noun,
roʃo,рошо,word.obl,слово.obl,Noun,
hotʃ'omusːi,гьоч1омусси,raccoon,енот,Noun,
zumajrati,Зумайрати,Zumairat,Зумайрат,Noun,
moʔo,моъо,tear.pl.obl,слеза.pl.obl,Noun,
χaɡi,хаги,cauldron.pl,котел.pl,Noun,
ɬudi,лъуди,firewood,полено,Noun,
honu,гьону,brain,мозг,Noun,
ɬarɬal,лъарлъал,rake.obl,грабли.obl,Noun,
pulaw,пулав,rice,рис,Noun,
ɬotʃ'u,лъоч1у,voice,голос,Noun,
ts'ul,ц1ул,staff.pl.obl,палка.pl.obl,Noun,
tariχ,тарих,number,число,Noun,
tʃ'itʃ'om,ч1ич1ом,pebble,камешек,Noun,
k'ak'u,к1ак1у,whirligig,юла,Noun,
ʁuʁu,гъугъу,dove.pl,голубь.pl,Noun,
rek'ul,рек1ул,lock,замок,Noun,
toto,тото,spittle.pl,плевок.pl,Noun,
hints'o,гьинц1о,stone.pl.obl,камень.pl.obl,Noun,
miqχi,михъи,mustache.obl,усы.obl,Noun,
roʃon,рошон,rope.obl,веревка.obl,Noun,
tɬurtɬa,л1урл1а,oil.pl.obl,масло.pl.obl,Noun,
χo,хо,ash_tree,ясень,Noun,
uʒruq'i,ужрукъи,hedgehog.pl.obl,еж.pl.obl,Noun,
woʃo,вошо,son.obl,сын.obl,Noun,
sol,сол,tooth,зуб,Noun,
tɬ'ir,кьир,bridge.pl.obl,мост.pl.obl,Noun,
q'inu,къину,summer,лето,Noun,
laɡa,лага,body.obl,тело.obl,Noun,
q'inkom,къинком,bull-calf.obl,бычок.obl,Noun,
ortʃoɡi,орчоги,trousers.obl,штаны.obl,Noun,
ɡedu,геду,cat.pl.obl,кошка.pl.obl,Noun,
t'aʕel,т1аг1ел,tool,инструмент,Noun,
pirts'i,пирц1и,tar,смола,Noun,
sori,сори,fox.pl.obl,лиса.pl.obl,Noun,
reχːin,реххин,shovel.pl,широкая_лопата.pl,Noun,
reʃu,решу,forest,лес,Noun,
ts'ːa,ц1ц1а,star.pl.obl,звезда.pl.obl,Noun,
atʃkibol,ачкибол,spectacles,очки,Noun,
palɡan,палган,turnip,репа,Noun,
mijar,мияр,head,голова,Noun,
beχun,бехун,shoulder.pl,плечо.pl,Noun,
ilu,илу,mother.obl,мать.obl,Noun,
huntʃ'a,гьунч1a,hay.obl,сено.obl,Noun,
ʃːekib,щекиб,bird.pl.obl,птица.pl.obl,Noun,
χodiw,ходив,fiance,жених,Noun,
kːu,кку,el,el,Noun,
bot'ido,бот1идо,darkness,темнота,Noun,
tɬut'i,л1ут1и,wedge.pl,клин.pl,Noun,
tʃ'onni,ч1онни,flea.pl.obl,блоха.pl.obl,Noun,
ts'umur,ц1умур,fork.obl,вилка.obl,Noun,
honno,гьонно,forehead.pl.obl,лоб.pl.obl,Noun,
tomil,томил,gums.pl.obl,десна.pl.obl,Noun,
q'orolawʃu,къоролавшу,widower.obl,вдовец.obl,Noun,
ʁuʁu,гъугъу,dove,голубь,Noun,
qχala,хъала,fortress,крепость,Noun,
telefon,телефон,telephone.obl,телефон.obl,Noun,
ħajwan,х1айван,livestock,домашний_скот,Noun,
misa,миса,place.pl.obl,место.pl.obl,Noun,
irsa,ирса,boat,лодка,Noun,
ħeleko,х1елеко,rooster,петух,Noun,
